timestep	potential_energy	temperature
179999	13056823.32	0.9932357492
359999	11435571.13	1.001290514
539999	11794095.93	0.9964376257
719999	11958804.99	1.011205507
899999	11871930.16	1.003336925
1079999	11488904.86	1.004146135
1259999	11794693.79	0.9969291763
1439999	11449866.56	1.009228327
1619999	11841755.32	0.9977082604
1799999	11464764.6	1.004508145
1979999	11214034.38	1.001423295
2159999	11948830.53	1.002127806
2339999	11810915.06	1.006696839
2519999	11716056.74	0.9984294366
2699999	11839361.74	1.001681234
2879999	11373370.26	0.998368011
3059999	11938137.68	0.9983435375
3239999	11430534.13	1.009122303
3419999	11630840.25	0.9910486515
3599999	11426626.38	1.007904777
3779999	11295933.48	1.002739754
3959999	11372864.8	0.9906173335
4139999	11750754.83	0.994358224
4319999	11960171.88	1.001040655
4499999	11412492.48	1.00412916
4679999	11761379.75	1.00041512
4859999	11853701.88	1.002772763
5039999	12048062.32	1.001419797
5219999	11303554.99	1.001222202
5399999	11410136.56	1.003944789
5579999	11315053.35	1.004027518
5759999	11690920.38	0.9946220367
5939999	12146252.49	0.9906803594
6119999	11229249.3	1.003270644
6299999	11384812.65	1.010424037
6479999	11705919.62	0.9963278221
6659999	11818316.69	1.002733736
6839999	11725445.43	1.012837571
7019999	11243359.31	1.005474991
7199999	11959396.91	1.001198746
7379999	11227963.08	1.004668189
7559999	11890733.84	1.000614554
7739999	11301840.38	1.008185174
7919999	11506254.76	0.9987289032
8099999	11946118.71	0.9985979422
8279999	11595671.31	1.002198099
8459999	11641849.05	0.9989589047
8639999	12420075.96	1.00724371
8819999	11408604.28	0.996741383
8999999	11896337.57	1.002127091
9179999	11198094.17	1.001130987
9359999	11961338.96	0.9972450618
9539999	11204624.69	0.9944862002
9719999	11362239.45	0.9904800956
9899999	11729687.05	1.000702194
10079999	11377107.92	0.9971614119
10259999	12074711.06	1.002199649
10439999	11269467.84	0.9983131807
10619999	11419645.8	0.9931285856
10799999	11729777.2	0.9987559975
10979999	11412039.07	0.9994114649
11159999	12063787.74	1.003234186
11339999	11459157.58	1.000751364
11519999	11333425.08	0.989136559
11699999	11554410.56	1.000756489
11879999	11953003.17	0.996289937
12059999	11924852.64	1.003636512
12239999	11380496.43	0.9988689626
12419999	11696474.13	1.00456055
12599999	11563053.9	1.000553873
12779999	11193979.67	0.9959238802
12959999	12044882.98	1.003215395
13139999	11259399.29	1.004803682
13319999	11996740.3	1.007139547
13499999	11198194.41	1.002595027
13679999	11810958.04	1.004681331
13859999	11397143.96	1.001198498
14039999	11923584.53	1.003753196
14219999	11389211.93	0.9997473519
14399999	11274145.38	1.003077363
14579999	11421569.07	1.002647292
14759999	11370822.6	0.9960879915
14939999	12133717.64	0.9971421957
15119999	11327281.54	0.9968809978
15299999	11879332.22	0.9941704975
15479999	11388583.7	1.000771595
15659999	11699900.32	0.9959471356
15839999	11647914.46	1.007872678
16019999	11331179.72	0.998883432
16199999	11716933.53	0.9974992728
16379999	12010888.12	0.9966896789
16559999	11275950.92	0.9992991553
16739999	11949263.6	0.9964875344
16919999	11214356.14	0.9994134603
17099999	11961419.18	1.007003507
17279999	11333236.87	0.9991901123
17459999	11617276.38	1.001963404
17639999	11309687.05	0.9972715914
17819999	11396453.18	0.9986526637
17999999	11314306.82	1.001820281
18179999	11612663.53	1.000635359
18359999	11455742.6	1.006391751
18539999	12006926.25	1.001021269
18719999	11394887.82	0.9975050334
18899999	11367828.33	1.00428582
