timestep	potential_energy	temperature
179999	7954661.811	1.000349204
359999	7939532.041	0.9922888882
539999	7941200.712	1.005335013
719999	7992078.614	0.9962691073
899999	7934045.26	1.002372766
1079999	7945554.88	0.9982865011
1259999	7935689.961	1.002352366
1439999	7935861.115	1.004519982
1619999	7934371.675	1.007360681
1799999	7939791.581	1.00081766
1979999	7939913.398	1.001442232
2159999	7935024.908	0.9978362462
2339999	7936992.735	0.9939744807
2519999	7993148.677	0.9996462291
2699999	7991420.968	0.992465307
2879999	7937754.569	1.001607808
3059999	7989771.371	1.008781992
3239999	7932647.573	0.9985745218
3419999	7951729.903	0.9957268743
3599999	7941400.991	1.004091226
3779999	7981860.601	0.9971324282
3959999	7937804.411	1.003760061
4139999	7938129.086	1.001603359
4319999	7975119.7	1.002985093
4499999	7936405.19	0.9948193511
4679999	7945361.217	1.001345054
4859999	7982864.725	0.9981839232
5039999	7929008.372	1.005244438
5219999	7979920.773	1.000130831
5399999	7935438.766	0.9934350294
5579999	7932832.344	1.000710871
5759999	7937704.1	0.9956976073
5939999	7978009.968	1.005287071
6119999	7920150.846	0.9888901582
6299999	7941376.287	1.002149013
6479999	7984423.501	0.9979691704
6659999	7930531.161	1.005529642
6839999	7981486.227	0.9993147583
7019999	7943100.583	1.000171703
7199999	7940018.616	0.9955626014
7379999	7926162.83	1.006580114
7559999	7941485.77	0.9984583476
7739999	7941528.63	0.9944533654
7919999	7996582.284	1.003516989
8099999	7938060.733	0.9886710578
8279999	7942565.893	0.9990649288
8459999	7977605.689	1.003109102
8639999	7941971.188	0.9949040619
8819999	7991299.5	0.9919179924
8999999	7942486.836	1.005030096
9179999	7930884.024	1.005211036
9359999	7928492.217	0.9992095405
9539999	7986759.729	1.015532395
9719999	7932351.667	1.001000435
9899999	7933083.253	0.9992880999
10079999	7935623.966	0.9973763058
10259999	7935751.95	1.001784566
10439999	7937080.806	1.004980365
10619999	7982708.305	1.003159852
10799999	7949304.542	0.9939135031
10979999	7934061.093	0.9981320073
11159999	7934511.611	0.998197515
11339999	7938002.711	0.9913711805
11519999	7939585.599	0.9998026085
11699999	7977377.776	1.001645822
11879999	7983468.204	1.006308231
12059999	7985997.08	1.010022923
12239999	7931950.026	1.002517579
12419999	7931788.845	0.9985473423
12599999	7931970.331	1.001251846
12779999	7943315.614	0.9956704627
12959999	7932976.302	0.9954561923
13139999	7930318.256	0.9913216072
13319999	7938044.762	0.9946711364
13499999	7927319.471	1.000820519
13679999	7939045.217	0.9988670243
13859999	7935253.371	1.00314925
14039999	7994450.058	1.003459149
14219999	7932952.86	0.999026823
14399999	7981209.058	0.9980149213
14579999	7953978.289	1.007803956
14759999	7930021.957	1.009850221
14939999	7945809.373	1.005626532
15119999	7995319.855	1.006701119
15299999	7939355.595	0.9883260309
15479999	7936445.441	1.002772144
15659999	7989020.669	1.002211626
15839999	7934727.458	1.001582679
16019999	7933768.151	1.008481043
16199999	7935399.415	1.008844559
16379999	7980407.204	0.9930675478
16559999	7930913.198	1.002490506
16739999	7931082.459	0.9952304955
16919999	7988429.882	0.9958582808
17099999	7986075.119	1.007305088
17279999	7936872.12	1.008548624
17459999	7935823.325	0.9901041226
17639999	7946293.126	0.9961146294
17819999	7946900.471	0.9940967669
17999999	7944056.758	1.002415527
18179999	7934235.963	0.9958403644
18359999	7979598.74	1.006335776
18539999	7930927.365	1.008040355
18719999	7937508.323	1.008838628
18899999	7984706.988	1.001192549
