timestep	potential_energy	temperature
179999	5437901.595	1.003811298
359999	4612511.581	0.9924488934
539999	4551173.79	1.0074865
719999	4553325.706	1.003476093
899999	4556019.782	0.9966630274
1079999	4558674.607	1.005662938
1259999	4557073.883	1.001859275
1439999	4573403.604	1.007563145
1619999	4553614.415	0.9957286382
1799999	4598037.172	1.001903407
1979999	4564268.545	0.9951408881
2159999	4530589.639	0.9904415645
2339999	4562451.588	1.002194916
2519999	4559095.965	0.9988844513
2699999	4557973.243	0.9983162389
2879999	4541441.175	1.006316196
3059999	4558953.226	1.003214828
3239999	4565346.441	1.003777257
3419999	4535774.987	1.000812993
3599999	4541946.678	1.006625973
3779999	4528448.581	1.001186953
3959999	4550429.812	0.9948835901
4139999	4543744.421	0.9969835552
4319999	4558396.674	0.9987495067
4499999	4538306.252	0.9975912583
4679999	4551038.622	0.9998492472
4859999	4541215.971	1.008669115
5039999	4552618.172	0.9934268605
5219999	4550683.422	1.002002608
5399999	4543127.437	1.002812792
5579999	4544744.139	0.9917065698
5759999	4543338.536	1.002422881
5939999	4533045.038	0.9993059072
6119999	4555963.781	1.003497713
6299999	4549512.933	1.003485535
6479999	4547690.246	1.001855741
6659999	4547353.431	1.008123708
6839999	4564105.131	1.007452898
7019999	4550243.632	0.9990142772
7199999	4541952.68	0.9966605406
7379999	4554354.519	0.998903353
7559999	4595747.969	0.9937338323
7739999	4570325.731	0.9936650935
7919999	4541851.172	1.001762698
8099999	4554484.971	1.003061131
8279999	4559226.893	1.003017246
8459999	4554098.951	1.002005804
8639999	4549129.53	1.006540323
8819999	4573148.323	1.006916279
8999999	4555815.912	1.000189428
9179999	4559008.639	0.9990219031
9359999	4543332.435	1.000348553
9539999	4542731.666	1.002248132
9719999	4567574.383	0.9976676425
9899999	4561349.617	0.9955854257
10079999	4546811.076	1.012259297
10259999	4553867.054	0.9996469896
10439999	4536063.224	0.9958672166
10619999	4540237.316	0.9882184278
10799999	4560866.391	0.9967268539
10979999	4547511.876	0.9969378157
11159999	4585415.971	0.9998524612
11339999	4591310.843	1.000034559
11519999	4570330.21	0.9959101678
11699999	4523433.799	0.9929258029
11879999	4553211.566	1.011568496
12059999	4555777.376	1.003531142
12239999	4571321.128	0.9989822283
12419999	4554957.562	0.9965584392
12599999	4551591.309	1.001160937
12779999	4547276.076	0.997226561
12959999	4564461.779	0.9972342224
13139999	4551126.57	1.000013811
13319999	4547030.959	0.9961064939
13499999	4541962.232	1.005278778
13679999	4560546.801	0.9997641158
13859999	4544530.001	1.002845819
14039999	4587204.874	0.999252125
14219999	4558645.294	1.004287959
14399999	4566012.543	0.9928227544
14579999	4549019.345	1.003782517
14759999	4554498.979	0.9992916786
14939999	4554207.41	0.9946937516
15119999	4531956.608	1.004753547
15299999	4550333.185	1.004604778
15479999	4549684.861	0.9931298516
15659999	4545435.38	1.002395644
15839999	4555714.351	0.9991468053
16019999	4567528.745	0.9882865684
16199999	4551142.135	0.9945130008
16379999	4555771.126	0.9979770553
16559999	4532521.797	1.00497723
16739999	4564019.504	0.9949170112
16919999	4560635.894	0.9962236561
17099999	4534968.649	1.007068818
17279999	4542160.619	1.006895423
17459999	4568148.819	0.9863893247
17639999	4551510.226	1.004801749
17819999	4558226.137	1.000200606
17999999	4548051.681	0.9981590854
18179999	4534074.525	0.9945859868
18359999	4538430.171	1.007073611
18539999	4547209.491	1.002148633
18719999	4541418.619	1.003117918
18899999	4554329.854	0.9972943304
