timestep	potential_energy	temperature
179999	9145363.944	1.001848781
359999	7979585.437	0.9978667584
539999	7936455.76	1.003275529
719999	7945646.879	1.007486717
899999	7937184.917	1.00806398
1079999	7944665.456	1.000517395
1259999	7941159.059	1.001867652
1439999	7990629.118	0.993916961
1619999	7940990.809	0.9977014656
1799999	7943353.087	1.000341032
1979999	7943394.34	1.00071379
2159999	7991853.225	0.9986001857
2339999	7941516.46	0.9994415529
2519999	7953146.008	0.9945042045
2699999	7924405.242	0.9942894315
2879999	7938896.234	0.9881291602
3059999	7937926.292	1.005276833
3239999	7929292.939	1.000687684
3419999	7952088.796	1.002079039
3599999	7987848.867	0.9902632635
3779999	7981595.631	1.00525569
3959999	7928917.634	1.001035898
4139999	7934497.648	0.994509305
4319999	7939308.138	1.006773079
4499999	7930304.231	0.9958609846
4679999	7946623.66	1.004784269
4859999	7939700.943	0.9998672616
5039999	7932366.982	1.011571338
5219999	7927319.563	0.9996298584
5399999	7933992.262	0.9976756129
5579999	7933941.739	0.9967144431
5759999	7934806.844	0.9878950306
5939999	7983412.82	1.003028772
6119999	7989848.668	0.9922178351
6299999	7978616.986	0.999886963
6479999	7991406.297	0.9944536169
6659999	7989780.042	1.004487747
6839999	7936646.557	0.9974277981
7019999	7993948.502	0.9996026063
7199999	7934857.553	0.9955130315
7379999	7941082.609	0.9982597827
7559999	7985718.745	1.005038062
7739999	7932709.787	1.003017699
7919999	7984387.733	1.00102463
8099999	7981681.32	0.9909371772
8279999	7972403.743	0.9911836643
8459999	7939899.263	0.9954899146
8639999	7979034.086	1.000051915
8819999	7934141.878	1.012942008
8999999	7941864.062	1.001721535
9179999	7936332.067	0.9983528856
9359999	7950013.883	0.9951711879
9539999	7935598.919	0.9986636992
9719999	7981521.212	0.9946032008
9899999	7935232.321	0.9925250931
10079999	7931123.326	1.00354371
10259999	7977454.37	0.9998297087
10439999	7946566.835	0.9961489948
10619999	7986663.936	1.00039026
10799999	7981905.592	0.9951192184
10979999	7932789.091	1.002311771
11159999	7927290.512	1.000937872
11339999	7943250.015	0.999404073
11519999	7926013.508	1.002517281
11699999	7928535.331	1.003458285
11879999	7939953.186	1.002138544
12059999	7944749.898	0.9891608324
12239999	7981473.024	0.9924441616
12419999	7929303.688	1.003473847
12599999	7926176.945	1.000883796
12779999	7934037.544	1.001563074
12959999	7941769.742	0.9943436068
13139999	7983729.98	0.9976787409
13319999	7930105.849	0.9936760069
13499999	7942955.686	0.9926625952
13679999	7942840.731	1.00895767
13859999	7981116.437	0.9991276058
14039999	7931631.099	0.9897504483
14219999	7928253.247	0.9858690261
14399999	7946588.759	1.004902305
14579999	7939995.817	0.9977194744
14759999	7980512.895	1.006454202
14939999	7937648.006	1.004996914
15119999	7944592.243	1.003158416
15299999	7946176.744	1.000287446
15479999	7978433.681	0.9952059033
15659999	7988443.787	1.000835571
15839999	7942465.092	0.9990135806
16019999	7943135.639	1.005429119
16199999	7945735.722	1.009846824
16379999	7937351.324	1.006620609
16559999	7937112.661	0.9988268657
16739999	7976521.793	1.003584156
16919999	7941224.522	0.9985627024
17099999	7933189.323	0.9949123291
17279999	7989804.026	0.9937459965
17459999	7923335.265	0.9983832805
17639999	7948858.096	1.001920132
17819999	7947368.519	0.9938415391
17999999	7930883.164	0.9931255084
18179999	7970817.397	0.9924535408
18359999	7926717.478	1.007441332
18539999	7934344.543	0.9935006762
18719999	7941721.267	1.005609719
18899999	7933781.951	1.007967479
